Date	RELIANCE.NS	TCS.NS	HDFCBANK.NS	ITC.NS	HDFC.NS	HINDUNILVR.NS	SBIN.NS	IOC.NS	INFY.NS	leftover
2017-07-19	3787.9095458984375	5751.4227294921875	9940.868408203125	2244.90576171875	4831.9207763671875	7825.34716796875	5572.699768066406	3603.4222412109375	6593.5400390625	97.082062
2017-07-20	3777.9019165039062	5739.918212890625	10050.128173828125	2229.885986328125	4820.6795654296875	7815.51708984375	5528.050231933594	3597.658905029297	6523.557586669922	97.082062
2017-07-21	3916.5249633789062	5849.095458984375	10004.016357421875	2225.26416015625	4791.334716796875	7854.497314453125	5522.349884033203	3658.652633666992	6595.222320556641	97.082062
2017-07-24	3991.2722778320312	5975.4180908203125	10192.283203125	2258.7705078125	4765.93212890625	7859.2423095703125	5596.449768066406	3632.2382202148438	6665.541687011719	97.082062
2017-07-25	3958.902587890625	6071.754150390625	10219.011474609375	2244.5205078125	4765.348388671875	7793.146484375	5625.900115966797	3600.0604705810547	6687.748260498047	97.082062
2017-07-26	4009.8046875	6035.15625	10265.4169921875	2261.851318359375	4769.4356689453125	7894.4935302734375	5620.199768066406	3589.013900756836	6689.093170166016	97.082062
2017-07-27	3940.7406616210938	5859.720458984375	10512.720703125	2222.568359375	5046.0926513671875	7944.3189697265625	5668.650115966797	3543.3890686035156	6534.32373046875	97.082062
2017-07-28	3939.87548828125	5865.8599853515625	10447.22314453125	2245.676025390625	5212.962158203125	7821.9573974609375	5682.900115966797	3532.8233032226562	6711.299743652344	97.082062
2017-07-31	3991.148681640625	5883.5687255859375	10481.880615234375	2197.14990234375	5224.3494873046875	7834.837158203125	5937.5	3531.3826446533203	6804.499053955078	97.082062
2017-08-01	3962.4853515625	5906.8023681640625	10557.069580078125	2217.1767578125	5194.713134765625	7958.215576171875	5871.0	3557.3169555664062	6766.478118896484	97.082062
2017-08-02	4025.7427978515625	5841.0675048828125	10524.46875	2198.690673828125	5157.630615234375	7922.9652099609375	5846.300231933594	3554.9153900146484	6684.383239746094	97.082062
2017-08-03	4077.386474609375	5877.9962158203125	10455.73974609375	2167.495361328125	5071.056884765625	7930.7615966796875	5710.449768066406	3717.724899291992	6621.465911865234	97.082062
2017-08-04	4008.3221435546875	5956.76513671875	10516.244384765625	2162.488525390625	5055.2900390625	8081.2547607421875	5799.75	4024.133499145508	6619.783630371094	97.082062
2017-08-07	3993.990478515625	5911.05224609375	10506.2578125	2155.556396484375	5037.9166259765625	8041.93701171875	5912.800231933594	4141.798278808594	6515.482635498047	97.082062
2017-08-08	3959.8910522460938	5910.1556396484375	10443.69873046875	2111.65185546875	5021.8575439453125	8073.797607421875	5769.349884033203	3969.383560180664	6485.8740234375	97.082062
2017-08-09	3950.6246948242188	5931.2640380859375	10364.690185546875	2101.638671875	5056.166015625	8035.495849609375	5743.699768066406	3977.0673065185547	6522.884674072266	97.082062
2017-08-10	3914.9185180664062	5929.94140625	10341.193359375	2103.564208984375	4992.366943359375	7936.183349609375	5637.300231933594	3941.047332763672	6602.960357666016	97.082062
2017-08-11	3820.7736206054688	5893.6273193359375	10274.22802734375	2091.239990234375	4950.175048828125	7814.84033203125	5322.849884033203	3955.456024169922	6646.363677978516	97.082062
2017-08-14	3886.9967651367188	5830.6787109375	10322.102783203125	2089.314453125	5004.484130859375	7834.498779296875	5285.800231933594	4028.9359283447266	6604.306640625	97.082062
2017-08-16	3869.822998046875	5884.89013671875	10463.3759765625	2150.5498046875	5085.65625	8042.275390625	5378.900115966797	4056.311248779297	6562.249603271484	97.082062
2017-08-17	3872.2940063476562	5869.0228271484375	10370.2705078125	2156.711669921875	5136.7532958984375	7980.92626953125	5336.150115966797	4094.732437133789	6869.434661865234	97.082062
2017-08-18	3892.8033447265625	5935.5133056640625	10292.438232421875	2170.96142578125	5066.09326171875	8149.7218017578125	5295.300231933594	4124.166442871094	6212.6715087890625	97.082062
2017-08-21	3865.62255859375	5970.931396484375	10239.8642578125	2169.03564453125	5075.1448974609375	8076.84814453125	5218.349884033203	3987.6116638183594	5877.223663330078	97.082062
2017-08-22	3854.8736572265625	5897.169189453125	10262.186279296875	2179.049072265625	5110.9130859375	8132.0970458984375	5204.099884033203	4084.1168365478516	5890.682830810547	97.082062
2017-08-23	3909.2355346679688	5877.9962158203125	10411.683837890625	2176.35302734375	5154.2728271484375	8054.4766845703125	5301.0	4119.341201782227	6007.7691650390625	97.082062
2017-08-24	3874.6417236328125	5894.9017333984375	10353.23583984375	2167.880615234375	5131.20556640625	7997.1949462890625	5325.699768066406	4132.369598388672	6137.978210449219	97.082062
2017-08-28	3870.93505859375	5872.9425048828125	10351.767333984375	2175.5830078125	5157.7767333984375	8132.774658203125	5307.650115966797	4253.001678466797	6332.113037109375	97.082062
2017-08-29	3785.9329223632812	5834.1259765625	10257.193359375	2158.637451171875	5044.9244384765625	8070.068603515625	5263.0	4193.168548583984	6240.933837890625	97.082062
2017-08-30	3864.8809814453125	5866.4727783203125	10388.775146484375	2172.11669921875	5136.169921875	8163.9593505859375	5255.400115966797	4370.255844116211	6235.550537109375	97.082062
2017-08-31	3939.9993896484375	5894.3353271484375	10435.179931640625	2174.04248046875	5188.2894287109375	8268.694458007812	5277.25	4388.109481811523	6156.820220947266	97.082062
2017-09-01	3978.5467529296875	5800.0762939453125	10383.194091796875	2184.44091796875	5137.6300048828125	8244.289306640625	5279.150115966797	4326.346115112305	6190.465393066406	97.082062
2017-09-04	3986.5774536132812	5799.5111083984375	10285.094970703125	2180.58984375	5125.5120849609375	8115.48828125	5277.25	4140.572402954102	6057.565612792969	97.082062
2017-09-05	4034.144287109375	5866.0015869140625	10311.235107421875	2178.6640625	5160.2589111328125	8170.0587158203125	5254.449768066406	4167.593963623047	6069.004669189453	97.082062
2017-09-06	4065.7730102539062	5792.4267578125	10337.96337890625	2123.5908203125	5182.7413330078125	8178.1943359375	5210.75	4132.852508544922	6026.6107177734375	97.082062
2017-09-07	4043.03955078125	5808.7200927734375	10377.027099609375	2082.767333984375	5202.3043212890625	8194.12548828125	5209.800231933594	4170.972229003906	6027.620086669922	97.082062
2017-09-08	4037.1096801757812	5833.5107421875	10500.97119140625	2097.787353515625	5194.85888671875	8185.99072265625	5164.199768066406	4141.537872314453	5950.571594238281	97.082062
2017-09-11	4042.0513916015625	5795.355224609375	10710.6796875	2107.41552734375	5202.3043212890625	8269.711303710938	5148.050231933594	4140.572402954102	5912.888488769531	97.082062
2017-09-12	4070.9619140625	5875.6353759765625	10780.28759765625	2138.610595703125	5250.1900634765625	8472.40283203125	5195.550231933594	4197.0283203125	5948.888854980469	97.082062
2017-09-13	4195.7470703125	5877.4298095703125	10819.35205078125	2091.239990234375	5191.79296875	8480.19921875	5194.599884033203	4014.1503143310547	5946.870574951172	97.082062
2017-09-14	4170.295715332031	5872.093505859375	10804.960693359375	2095.09130859375	5173.398193359375	8459.183837890625	5209.800231933594	4050.339797973633	6005.0775146484375	97.082062
2017-09-15	4160.164794921875	5917.23876953125	10861.058349609375	2074.29443359375	5165.076416015625	8446.642456054688	5158.5	4011.2549591064453	6111.734619140625	97.082062
2017-09-18	4178.697204589844	5900.71044921875	10928.611083984375	2056.57861328125	5173.2520751953125	8677.468994140625	5137.599884033203	4011.2549591064453	6117.453918457031	97.082062
2017-09-19	4144.350280761719	5898.775634765625	10865.4638671875	2063.1259765625	5117.3367919921875	8672.383911132812	5088.199768066406	4036.8291931152344	6138.650665283203	97.082062
2017-09-20	4186.6046142578125	5887.7239990234375	10860.470947265625	2091.625244140625	5159.8209228515625	8537.142578125	5130.949768066406	3994.849349975586	6141.678771972656	97.082062
2017-09-21	4157.940673828125	5961.722412109375	10803.19775390625	2076.22021484375	5222.4517822265625	8519.178588867188	5101.5	3988.0938720703125	6120.482482910156	97.082062
2017-09-22	4039.5803833007812	5911.4312744140625	10715.085205078125	2067.74755859375	5200.11474609375	8400.546020507812	4975.150115966797	3941.2884368896484	6044.779357910156	97.082062
2017-09-25	4060.0897216796875	5928.3367919921875	10572.049072265625	2019.9915771484375	5124.49072265625	8454.438842773438	4916.25	3850.5729217529297	6024.928436279297	97.082062
2017-09-26	4052.923583984375	5843.050537109375	10528.2861328125	2021.5322265625	5084.1961669921875	8252.424072265625	4906.75	3856.8458404541016	6095.921173095703	97.082062
2017-09-27	3949.3890380859375	5891.1236572265625	10435.4736328125	1991.1070556640625	5020.251708984375	8174.8045654296875	4757.599884033203	3818.2435607910156	6054.873504638672	97.082062
2017-09-28	3886.6256713867188	5847.3004150390625	10545.908935546875	2014.5997314453125	5093.2481689453125	8153.7908935546875	4798.450057983398	3835.132781982422	6029.3023681640625	97.082062
2017-09-29	3859.197998046875	5751.67236328125	10607.000244140625	1989.5665283203125	5086.824462890625	7957.877197265625	4823.150115966797	3865.049346923828	6055.545959472656	97.082062
2017-10-03	3945.4351806640625	5781.1883544921875	10625.50341796875	2013.4443359375	5143.6153564453125	8042.275390625	4774.700057983398	3923.4351501464844	6080.107727050781	97.082062
2017-10-04	4046.7462158203125	5766.6912841796875	10555.89404296875	2059.65966796875	5162.59423828125	8117.8612060546875	4810.799942016602	3944.666000366211	6053.526763916016	97.082062
2017-10-05	4072.9391479492188	5736.7041015625	10565.293212890625	2043.0992431640625	5114.70849609375	8051.0877685546875	4780.400115966797	3925.365036010742	6076.742706298828	97.082062
